Board,postsPerDay_mean,dailyPeakPostsPerMinute_mean,OPLength_mean,repliesWithImages_ratio,repliesWithText_ratio,repliesPerThread_mean,repliesPerThread_standardDeviation,repliesPerThread_coefficientOfVariation,repliesPerMinutePerThread_mean,repliesPerMinutePerThread_standardDeviation,repliesPerMinutePerThread_coefficientOfVariation,postLengthByPost_mean,postLengthByPost_standardDeviation,postLengthByPost_coefficientOfVariation,postLengthByThread_mean,postLengthByThread_standardDeviation,postLengthByThread_coefficientOfVariation,postersPerThread_mean,postersPerThread_standardDeviation,postersPerThread_coefficientOfVariation,postsByPoster_mean,postsByPoster_standardDeviation,postsByPoster_coefficientOfVariation,threadAgeHours_mean,threadAgeHours_standardDeviation,threadAgeHours_coefficientOfVariation,created
tv,160.3313295763883,0.20538646811668584,226.19594594594594,0.20197813638729825,0.9609578344612181,38.42,68.0966244880513,1.772426457263178,0.001962979375081991,0.004120288560282348,2.098997377448374,164.28462709284628,229.32241088338432,1.395884782048302,166.93622127204196,123.59542490037792,0.740375120262036,19.673333333333332,26.08511623299557,1.325912380531798,1.5566148410106324,0.6352481517158612,0.4080959110626405,558.6466267129465,925.6801264952087,1.657004772304582,1531074062801
u,160.3313295763883,0.20538646811668584,226.19594594594594,0.20197813638729825,0.9609578344612181,38.42,68.0966244880513,1.772426457263178,0.001962979375081991,0.004120288560282348,2.098997377448374,164.28462709284628,229.32241088338432,1.395884782048302,166.93622127204196,123.59542490037792,0.740375120262036,19.673333333333332,26.08511623299557,1.325912380531798,1.5566148410106324,0.6352481517158612,0.4080959110626405,558.6466267129465,925.6801264952087,1.657004772304582,1531074062801
v,160.3313295763883,0.20538646811668584,226.19594594594594,0.20197813638729825,0.9609578344612181,38.42,68.0966244880513,1.772426457263178,0.001962979375081991,0.004120288560282348,2.098997377448374,164.28462709284628,229.32241088338432,1.395884782048302,166.93622127204196,123.59542490037792,0.740375120262036,19.673333333333332,26.08511623299557,1.325912380531798,1.5566148410106324,0.6352481517158612,0.4080959110626405,558.6466267129465,925.6801264952087,1.657004772304582,1531074062801
vg,160.3313295763883,0.20538646811668584,226.19594594594594,0.20197813638729825,0.9609578344612181,38.42,68.0966244880513,1.772426457263178,0.001962979375081991,0.004120288560282348,2.098997377448374,164.28462709284628,229.32241088338432,1.395884782048302,166.93622127204196,123.59542490037792,0.740375120262036,19.673333333333332,26.08511623299557,1.325912380531798,1.5566148410106324,0.6352481517158612,0.4080959110626405,558.6466267129465,925.6801264952087,1.657004772304582,1531074062801
vip,160.3313295763883,0.20538646811668584,226.19594594594594,0.20197813638729825,0.9609578344612181,38.42,68.0966244880513,1.772426457263178,0.001962979375081991,0.004120288560282348,2.098997377448374,164.28462709284628,229.32241088338432,1.395884782048302,166.93622127204196,123.59542490037792,0.740375120262036,19.673333333333332,26.08511623299557,1.325912380531798,1.5566148410106324,0.6352481517158612,0.4080959110626405,558.6466267129465,925.6801264952087,1.657004772304582,1531074062801
vp,160.3313295763883,0.20538646811668584,226.19594594594594,0.20197813638729825,0.9609578344612181,38.42,68.0966244880513,1.772426457263178,0.001962979375081991,0.004120288560282348,2.098997377448374,164.28462709284628,229.32241088338432,1.395884782048302,166.93622127204196,123.59542490037792,0.740375120262036,19.673333333333332,26.08511623299557,1.325912380531798,1.5566148410106324,0.6352481517158612,0.4080959110626405,558.6466267129465,925.6801264952087,1.657004772304582,1531074062801
vr,160.3313295763883,0.20538646811668584,226.19594594594594,0.20197813638729825,0.9609578344612181,38.42,68.0966244880513,1.772426457263178,0.001962979375081991,0.004120288560282348,2.098997377448374,164.28462709284628,229.32241088338432,1.395884782048302,166.93622127204196,123.59542490037792,0.740375120262036,19.673333333333332,26.08511623299557,1.325912380531798,1.5566148410106324,0.6352481517158612,0.4080959110626405,558.6466267129465,925.6801264952087,1.657004772304582,1531074062801
w,160.3313295763883,0.20538646811668584,226.19594594594594,0.20197813638729825,0.9609578344612181,38.42,68.0966244880513,1.772426457263178,0.001962979375081991,0.004120288560282348,2.098997377448374,164.28462709284628,229.32241088338432,1.395884782048302,166.93622127204196,123.59542490037792,0.740375120262036,19.673333333333332,26.08511623299557,1.325912380531798,1.5566148410106324,0.6352481517158612,0.4080959110626405,558.6466267129465,925.6801264952087,1.657004772304582,1531074062801
wg,160.3313295763883,0.20538646811668584,226.19594594594594,0.20197813638729825,0.9609578344612181,38.42,68.0966244880513,1.772426457263178,0.001962979375081991,0.004120288560282348,2.098997377448374,164.28462709284628,229.32241088338432,1.395884782048302,166.93622127204196,123.59542490037792,0.740375120262036,19.673333333333332,26.08511623299557,1.325912380531798,1.5566148410106324,0.6352481517158612,0.4080959110626405,558.6466267129465,925.6801264952087,1.657004772304582,1531074062801
wsg,160.3313295763883,0.20538646811668584,226.19594594594594,0.20197813638729825,0.9609578344612181,38.42,68.0966244880513,1.772426457263178,0.001962979375081991,0.004120288560282348,2.098997377448374,164.28462709284628,229.32241088338432,1.395884782048302,166.93622127204196,123.59542490037792,0.740375120262036,19.673333333333332,26.08511623299557,1.325912380531798,1.5566148410106324,0.6352481517158612,0.4080959110626405,558.6466267129465,925.6801264952087,1.657004772304582,1531074062801
wsr,160.3313295763883,0.20538646811668584,226.19594594594594,0.20197813638729825,0.9609578344612181,38.42,68.0966244880513,1.772426457263178,0.001962979375081991,0.004120288560282348,2.098997377448374,164.28462709284628,229.32241088338432,1.395884782048302,166.93622127204196,123.59542490037792,0.740375120262036,19.673333333333332,26.08511623299557,1.325912380531798,1.5566148410106324,0.6352481517158612,0.4080959110626405,558.6466267129465,925.6801264952087,1.657004772304582,1531074062801
x,160.3313295763883,0.20538646811668584,226.19594594594594,0.20197813638729825,0.9609578344612181,38.42,68.0966244880513,1.772426457263178,0.001962979375081991,0.004120288560282348,2.098997377448374,164.28462709284628,229.32241088338432,1.395884782048302,166.93622127204196,123.59542490037792,0.740375120262036,19.673333333333332,26.08511623299557,1.325912380531798,1.5566148410106324,0.6352481517158612,0.4080959110626405,558.6466267129465,925.6801264952087,1.657004772304582,1531074062801
y,160.3313295763883,0.20538646811668584,226.19594594594594,0.20197813638729825,0.9609578344612181,38.42,68.0966244880513,1.772426457263178,0.001962979375081991,0.004120288560282348,2.098997377448374,164.28462709284628,229.32241088338432,1.395884782048302,166.93622127204196,123.59542490037792,0.740375120262036,19.673333333333332,26.08511623299557,1.325912380531798,1.5566148410106324,0.6352481517158612,0.4080959110626405,558.6466267129465,925.6801264952087,1.657004772304582,1531074062801
